App,Category,Rating,Reviews,Size,Installs,Type,Price,ContentRating,Genres,LastUpdated,Current Ver,Android Ver
Cisco Webex Teams,BUSINESS,4.2,1661,46.0,100000.0,Free,0.0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up
Box,BUSINESS,4.2,159872,,10000000.0,Free,0.0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device
Google My Business,BUSINESS,4.4,70991,,5000000.0,Free,0.0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,,50000000.0,Free,0.0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8,10000.0,Free,0.0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up
Contacts,COMMUNICATION,4.3,66602,,50000000.0,Free,0.0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up
Browser 4G,COMMUNICATION,4.3,192948,6.6,10000000.0,Free,0.0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1,10000000.0,Free,0.0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up
Android Messages,COMMUNICATION,4.2,781810,,100000000.0,Free,0.0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,,10000000.0,Free,0.0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device
GMX Mail,COMMUNICATION,4.3,258556,,10000000.0,Free,0.0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24.0,100000000.0,Free,0.0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up
GroupMe,COMMUNICATION,4.5,330761,,10000000.0,Free,0.0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32.0,1000000.0,Free,0.0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,,100000000.0,Free,0.0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
Contacts+,COMMUNICATION,4.2,190613,11.0,10000000.0,Free,0.0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7,10000000.0,Free,0.0,Everyone,Communication,"March 5, 2017",196,2.1 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14.0,5000000.0,Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up
Full Screen Caller ID,COMMUNICATION,4.2,104990,10.0,5000000.0,Free,0.0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up
CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308,,5000000.0,Free,0.0,Everyone,Communication,"June 22, 2018",Varies with device,Varies with device
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,,10000000.0,Free,0.0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11.0,5000000.0,Free,0.0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up
Burner - Free Phone Number,COMMUNICATION,4.3,14873,,1000000.0,Free,0.0,Everyone,Communication,"July 12, 2018",Varies with device,Varies with device
Caller ID +,COMMUNICATION,4.0,9498,0.118,1000000.0,Free,0.0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up
Gmail,COMMUNICATION,4.3,4604483,,1000000000.0,Free,0.0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
All Email Providers,COMMUNICATION,4.1,20901,7.3,1000000.0,Free,0.0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up
GO Notifier,COMMUNICATION,4.2,124346,0.695,10000000.0,Free,0.0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up
Hangouts,COMMUNICATION,4.0,3419513,,1000000000.0,Free,0.0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
Hinge: Dating & Relationships,DATING,4.2,7779,12.0,500000.0,Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up
CMB Free Dating App,DATING,4.0,48845,40.0,1000000.0,Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1,5000000.0,Free,0.0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27.0,10000.0,Free,0.0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24.0,100000.0,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0,100000.0,Free,0.0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2,1000000.0,Free,0.0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,,100000.0,Free,0.0,Mature 17+,Dating,"December 28, 2017",1.0.5,4.0 and up
BBWCupid - BBW Dating App,DATING,3.5,241,2.8,50000.0,Free,0.0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up
ChatVideo Meet new people,DATING,4.2,63986,20.0,5000000.0,Free,0.0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27.0,10000.0,Free,0.0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31.0,500000.0,Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up
2RedBeans,DATING,4.0,337,32.0,10000.0,Free,0.0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13.0,500000.0,Free,0.0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44.0,100000.0,Free,0.0,Mature 17+,Dating,"August 2, 2018",3.4.1.1,4.1 and up
Herpes Positive Singles Dating,DATING,4.4,198,28.0,10000.0,Free,0.0,Mature 17+,Dating,"May 18, 2018",5.5.7,4.1 and up
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420,,10000000.0,Free,0.0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9,1000000.0,Free,0.0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up
Christian Dating For Free App,DATING,3.9,8723,13.0,500000.0,Free,0.0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41.0,100000.0,Free,0.0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27.0,10000.0,Free,0.0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up
Hitwe - meet people and chat,DATING,4.2,243950,21.0,10000000.0,Free,0.0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up
FERZU - Furries Social Network,DATING,3.9,1576,,10000.0,Free,0.0,Mature 17+,Dating,"February 16, 2018",4.4.1,4.1 and up
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15.0,1000000.0,Free,0.0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56.0,100000.0,Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up
Black People Meet Singles Date,DATING,3.9,10212,5.0,1000000.0,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42197,,5000000.0,Free,0.0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device
BBW Dating & Plus Size Chat,DATING,4.4,12633,29.0,1000000.0,Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1,500000.0,Free,0.0,Mature 17+,Dating,"July 26, 2018",4.813,4.0.3 and up
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2433,13.0,500000.0,Free,0.0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up
Free Live Talk-Video Call,DATING,4.7,158,4.5,10000.0,Free,0.0,Mature 17+,Dating,"July 5, 2018",8.2,4.0.3 and up
Free Dating Hook Up Messenger,DATING,3.3,1157,21.0,100000.0,Free,0.0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9,1000000.0,Free,0.0,Mature 17+,Dating,"July 10, 2018",1.23,4.0.3 and up
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.0,889,7.4,500000.0,Free,0.0,Everyone,Education,"March 9, 2018",2.2.4,4.2 and up
ABC Preschool Free,EDUCATION,3.8,27572,25.0,5000000.0,Free,0.0,Everyone,Education;Education,"October 25, 2017",3,2.3 and up
English with Lingualeo,EDUCATION,4.7,254519,27.0,5000000.0,Free,0.0,Everyone,Education,"July 20, 2018",2.8.1,4.1 and up
C++ Tutorials,EDUCATION,4.1,358,1.9,50000.0,Free,0.0,Everyone,Education,"August 21, 2014",1.1,2.3 and up
C++ Programming,EDUCATION,4.3,11904,1.8,1000000.0,Free,0.0,Everyone,Education,"August 22, 2015",2,2.3 and up
C Programming,EDUCATION,4.3,22251,1.8,1000000.0,Free,0.0,Everyone,Education,"June 28, 2015",3,2.3 and up
GMAT Question Bank,EDUCATION,4.2,240,29.0,10000.0,Free,0.0,Everyone,Education,"April 29, 2015",1.2.0,2.3.3 and up
GRE Tutor,EDUCATION,4.0,275,2.3,50000.0,Free,0.0,Everyone,Education,"December 2, 2013",2.9,2.1 and up
GRE Flashcards,EDUCATION,4.5,13791,,500000.0,Free,0.0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device
GMAT Math Flashcards,EDUCATION,4.4,1769,,100000.0,Free,0.0,Everyone,Education,"July 11, 2018",Varies with device,Varies with device
GRE Prep & Practice by Magoosh,EDUCATION,4.4,3963,,100000.0,Free,0.0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device
Brilliant,EDUCATION,4.5,41185,,1000000.0,Free,0.0,Everyone,Education,"August 3, 2018",Varies with device,Varies with device
Babbel – Learn Spanish,EDUCATION,4.4,54798,11.0,1000000.0,Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up
HomeWork,EDUCATION,4.3,16195,5.2,1000000.0,Free,0.0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up
Common Core,EDUCATION,4.0,835,15.0,100000.0,Free,0.0,Everyone,Education,"December 20, 2016",2.3.1,2.3 and up
Homework Planner,EDUCATION,4.0,2525,1.2,100000.0,Free,0.0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up
Canvas Student,EDUCATION,4.5,42828,,1000000.0,Free,0.0,Everyone,Education,"July 20, 2018",Varies with device,Varies with device
EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3,100000.0,Free,0.0,Everyone,Education,"March 29, 2018",2.4.4,4.0 and up
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84311,41.0,5000000.0,Free,0.0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up
Hotstar,ENTERTAINMENT,4.3,4885646,,100000000.0,Free,0.0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
H TV,ENTERTAINMENT,4.3,103078,5.6,5000000.0,Free,0.0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up
DStv Now,ENTERTAINMENT,3.9,34923,,5000000.0,Free,0.0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
BBC Media Player,ENTERTAINMENT,3.4,87384,,10000000.0,Free,0.0,Everyone,Entertainment,"September 14, 2016",Varies with device,Varies with device
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24.0,50000000.0,Free,0.0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up
Cinemark Theatres,ENTERTAINMENT,4.1,21867,39.0,1000000.0,Free,0.0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,,10000000.0,Free,0.0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device
Harkins Theatres,ENTERTAINMENT,4.3,1511,12.0,100000.0,Free,0.0,Everyone,Entertainment,"June 11, 2018",2.1.1,4.1 and up
AMC Theatres,ENTERTAINMENT,4.3,44550,72.0,1000000.0,Free,0.0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up
Cooking Channel,ENTERTAINMENT,4.1,1033,16.0,100000.0,Free,0.0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6,100000.0,Free,0.0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,23.0,50000.0,Free,0.0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310095,,10000000.0,Free,0.0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,,5000000.0,Free,0.0,Teen,Entertainment,"July 26, 2018",Varies with device,4.4 and up
FOX,ENTERTAINMENT,3.7,197774,44.0,10000000.0,Free,0.0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20.0,1000000.0,Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
Comedy Central,ENTERTAINMENT,3.9,22378,19.0,1000000.0,Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19.0,1000000.0,Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43.0,100000.0,Free,0.0,Everyone,Entertainment,"July 13, 2018",2.3.2,5.0 and up
Funny Pics,ENTERTAINMENT,3.9,9941,,1000000.0,Free,0.0,Teen,Entertainment,"July 7, 2017",Varies with device,Varies with device
Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.5,787177,,10000000.0,Free,0.0,Everyone,Entertainment,"June 20, 2018",Varies with device,Varies with device
All Events in City,EVENTS,4.0,3782,9.5,100000.0,Free,0.0,Everyone,Events,"June 12, 2018",8.4,4.0.3 and up
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8,10000.0,Free,0.0,Everyone,Events,"May 29, 2018",3.8,4.0 and up
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9,100000.0,Free,0.0,Everyone,Events,"December 4, 2017",1.3,4.1 and up
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24.0,1000000.0,Free,0.0,Everyone,Events,"July 17, 2018",11.1.1,5.0 and up
Goldstar: Live Event Tickets,EVENTS,4.5,1953,,100000.0,Free,0.0,Teen,Events,"August 1, 2018",Varies with device,Varies with device
Citibanamex Movil,FINANCE,3.6,52306,42.0,5000000.0,Free,0.0,Everyone,Finance,"July 27, 2018",20.1.0,5.0 and up
Bualuang mBanking,FINANCE,4.0,48445,10.0,5000000.0,Free,0.0,Everyone,Finance,"July 16, 2018",2.6.0,4.0.3 and up
BBVA Spain,FINANCE,4.2,36746,,5000000.0,Free,0.0,Everyone,Finance,"July 24, 2018",Varies with device,Varies with device
Ecobank Mobile Banking,FINANCE,4.0,12073,42.0,1000000.0,Free,0.0,Everyone,Finance,"May 25, 2018",3.3,4.2 and up
Banorte Movil,FINANCE,4.1,111632,65.0,1000000.0,Free,0.0,Everyone,Finance,"June 9, 2018",5.10.1.40699,4.4 and up
"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.0,25508,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,4.2 and up
"Even - organize your money, get paid early",FINANCE,4.8,12304,21.0,100000.0,Free,0.0,Everyone,Finance,"August 2, 2018",6.0.16,5.0 and up
Digit Save Money Automatically,FINANCE,4.5,8188,22.0,100000.0,Free,0.0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up
Expense IQ Money Manager,FINANCE,4.4,21570,27.0,1000000.0,Free,0.0,Everyone,Finance,"June 19, 2018",2.0.4,4.0 and up
Experian - Free Credit Report,FINANCE,4.6,23130,46.0,1000000.0,Free,0.0,Everyone,Finance,"July 12, 2018",2.1.4,4.2 and up
Branch,FINANCE,4.6,69973,3.8,1000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",1.17.1,4.0 and up
CreditWise from Capital One,FINANCE,4.6,26587,8.4,1000000.0,Free,0.0,Everyone,Finance,"July 19, 2018",1.18.0,4.4 and up
Credit Sesame,FINANCE,4.3,25166,11.0,1000000.0,Free,0.0,Everyone,Finance,"July 25, 2018",3.1.16,4.1 and up
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4,1000000.0,Free,0.0,Everyone,Finance,"July 24, 2018",2.9.5,4.0.3 and up
Bloomberg Professional,FINANCE,4.1,3334,,500000.0,Free,0.0,Everyone,Finance,"July 23, 2018",Varies with device,Varies with device
E*TRADE Mobile,FINANCE,3.9,10658,58.0,1000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up
Fox Business,FINANCE,3.7,2594,,500000.0,Free,0.0,Everyone,Finance,"March 13, 2018",Varies with device,Varies with device
Acorns - Invest Spare Change,FINANCE,4.3,45962,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
Current debit card and app made for teens,FINANCE,4.3,685,21.0,50000.0,Free,0.0,Everyone,Finance,"August 3, 2018",3.0.22,4.4 and up
Betterment,FINANCE,4.4,3780,11.0,100000.0,Free,0.0,Everyone,Finance,"August 3, 2018",6.0.6,5.0 and up
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38.0,1000000.0,Free,0.0,Everyone,Finance,"May 23, 2018",4.2.1,4.1 and up
GoBank,FINANCE,4.4,5950,12.0,500000.0,Free,0.0,Everyone,Finance,"June 1, 2018",2.131,4.1 and up
BBVA Compass Banking,FINANCE,4.3,5905,50.0,500000.0,Free,0.0,Everyone,Finance,"July 27, 2018",6.0.2,4.4 and up
BankMobile Vibe App,FINANCE,4.3,14627,23.0,1000000.0,Free,0.0,Everyone,Finance,"July 9, 2018",5.1,4.1 and up
ACE Elite,FINANCE,4.1,2898,45.0,100000.0,Free,0.0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up
Associated Credit Union Mobile,FINANCE,4.7,3290,12.0,50000.0,Free,0.0,Everyone,Finance,"May 30, 2018",5.9.1.0,5.0 and up
Bank of America Mobile Banking,FINANCE,4.4,341090,53.0,10000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up
Discover Mobile,FINANCE,4.6,87951,68.0,5000000.0,Free,0.0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up
Amex Mobile,FINANCE,4.3,24729,32.0,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",6.7.0,5.0 and up
Citi Mobile®,FINANCE,4.0,78306,46.0,5000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up
